case,no_l2_makespan,l2_makespan,l2_speedup,cache_hit_rate,added_copy_no_l2,added_copy_l2,plan_sha256,seconds
case_077,495320,495320,1.0,0.0,0,0,bf0059b3edaebc36c32fbc606e9c219af7e835f4bc1153952bdf0e581d28bd94,1.581826000008732
case_078,2296143,2296143,1.0,0.0,12644568,12644568,c421ea96a08fb13dbfd15bd12ea3ef49f49cbdc02856cc4c6032b9e4b9c67d0e,0.30870599998161197
case_079,31052251,31052251,1.0,0.0,32448512,32448512,1acd8e64b3eba2173611c94b57450892ab8b46cd571b84a93ebe557a557fa7a2,25.03725619998295
case_080,292138,291826,1.0010691302351402,0.1686143572621035,548864,548864,a771387827ddd8112fee5b7fd5c49d10d61d67a3c6bc59e36ba1eba28d01a2be,0.3194902999093756
case_081,151795,151795,1.0,0.0,0,0,a99f8cb4f2f3c9330df5e3fc99547a33e5589295870de36205af4f8d3c1ee67c,1.4841014000121504
case_082,721041,721041,1.0,0.0,0,0,f5ef7fed6dfc1dcefef4ff6e9f93c69f9c8700ae9023887c297987bd655cab19,1.1834147999761626
case_083,1057993,946145,1.1182144385902795,0.7958684091545202,13934688,13934688,6a0028bd6228a0618028627ffcd493f37c395b3fbcf399cea19306b4850d1254,1.6469615999376401
case_084,2507412,2507412,1.0,0.0,0,0,6d7e072fb61762200589548fae1c4ebf894c95d1e0a0a690fe440d121260af6f,7.630436099949293
case_085,3187899,3187899,1.0,0.0,0,0,8884046da863df8fbda6891818008b49910f5269413999e4ac9f47a26aa2ea03,17.6593030000804
case_086,118403,118403,1.0,0.0,0,0,0d563e6559f9527077a694ea99a33a07d9edeba4b7a2b92223f4385789f34c4a,1.7861044999444857
case_087,3974071,3969779,1.0010811684982968,0.18336776784760794,7902720,7902720,63ab0b24258b66da659e7926849e78ee6353de8548fd2d3602dd94b4f8febdce,24.003319300012663
case_088,243623,243623,1.0,0.0,0,0,fbc8f541d36e9683489b327888fc9fa266e6c3025176d0e02c5daaa7c4b2f76c,0.7262272000079975
case_089,693092,693092,1.0,0.0,0,0,18454e681cf07a9862e583f7bae3c56e001968a53e885384408412508053a2cd,1.8729737000539899
case_090,1178363,1178363,1.0,0.0,21233592,21233592,2839b41224031af7807c6fb13d7344b4583a48845bdb5f103aee490248ab22da,0.5651736001018435
case_091,9186769,9168820,1.001957612866214,0.10538579237748164,53947008,53947008,fd52d50c08487e3193ff37d3e2f6e7636213d1cd3cc95faec0dd934d4594fdb2,33.99913509993348
case_092,4815554,4333631,1.111205361047122,0.7935495964003455,66000096,66000096,0b957fd9c80e858061ac34b590feb368eb80eb7ebfb72e395da4446f9564a63e,19.346579500008374
case_093,74205,74205,1.0,0.0,0,0,a362e021ae414498dd346e4bc8e6b78da392e950324de1b529b931302c9673d6,0.18973650003317744
case_094,94892,94892,1.0,0.0,0,0,788706fae76b226a475e5ac58c41edb15ebab0028c04529b012cb440370c2030,0.1447640999685973
case_095,2084853,2084853,1.0,0.0,0,0,245022ea15499887e4f24537c733040b98ffcb6095987eaf889eee305833923d,1.9848452999722213
case_096,84194,84194,1.0,0.0,0,0,5c834b1e876a203ad83e6e6cc474b09935202a722da3aca8616e702d73f97fe1,0.2231434000423178
case_097,11491509,11491509,1.0,0.0,10584064,10584064,9e72258da64b8f13e0cd28dbf907b30806296ad1503f201dac9f31b973f98b78,4.509965399978682
case_098,177430,177430,1.0,0.0,0,0,433c381122151bc9df910934d44abf566fcc5394b5f6954ca2bef8fdbca59e2c,0.28517559997271746
case_099,1622999,1618902,1.002530727616619,0.25235465023466686,5484544,5484544,239e9c5e5625b65e0ba031d314c722c5df34cba7a120378df84f8ff91ebe1a53,1.9783932999707758
case_100,151223,151223,1.0,0.0,0,0,4b6acef75fa8c83443c8f4fc8c7057e42c213236f7b4b3fd66a43a96b59b8f25,0.28203010000288486
