case_098 p2 n2: baseline=122676, multiseed=108115, vns=102886
case_097 p3 n5: baseline=2102250, multiseed=2102250, vns=2101714
case_098 p2 n3: baseline=94079, multiseed=61799, vns=60568
case_098 p2 n4: baseline=97686, multiseed=64601, vns=61188
case_098 p3 n2: baseline=122676, multiseed=108115, vns=102886
case_098 p2 n5: baseline=89113, multiseed=64127, vns=59473
case_098 p3 n3: baseline=93247, multiseed=61799, vns=60582
case_098 p3 n4: baseline=97239, multiseed=62327, vns=60338
case_098 p3 n5: baseline=87275, multiseed=61665, vns=60655
case_099 p1 n2: baseline=866127, multiseed=812994, vns=810819
case_099 p1 n3: baseline=598550, multiseed=553205, vns=549360
case_099 p1 n4: baseline=487220, multiseed=412039, vns=410770
case_099 p2 n2: baseline=834879, multiseed=813005, vns=807776
case_099 p1 n5: baseline=503862, multiseed=342700, vns=342700
case_099 p2 n4: baseline=415658, multiseed=415287, vns=415285
case_099 p2 n3: baseline=570258, multiseed=540872, vns=539310
case_099 p2 n5: baseline=391462, multiseed=351440, vns=344341
case_099 p3 n2: baseline=830906, multiseed=810123, vns=806369
case_099 p3 n3: baseline=565704, multiseed=540960, vns=539261
case_099 p3 n4: baseline=415658, multiseed=414943, vns=414567
case_100 p1 n2: baseline=165322, multiseed=76709, vns=75837
case_100 p1 n3: baseline=108067, multiseed=63535, vns=62269
case_100 p1 n4: baseline=107504, multiseed=69235, vns=66664
case_099 p3 n5: baseline=386955, multiseed=343398, vns=342071
case_100 p1 n5: baseline=129344, multiseed=63062, vns=60344
case_100 p2 n2: baseline=132364, multiseed=72108, vns=68855
case_100 p2 n3: baseline=75549, multiseed=61325, vns=57307
case_100 p2 n4: baseline=63763, multiseed=56939, vns=50721
case_100 p2 n5: baseline=86932, multiseed=56864, vns=55228
case_100 p3 n2: baseline=132210, multiseed=71147, vns=69059
case_100 p3 n3: baseline=74619, multiseed=61325, vns=57307
case_100 p3 n4: baseline=63695, multiseed=56787, vns=50721
case_100 p3 n5: baseline=85216, multiseed=56384, vns=55019
