case_id,n_cores,no_l2_makespan,no_l2_added_copy,l2_makespan,l2_added_copy,cache_hit_rate
case_051,4,279790,1246236,279601,1246236,0.7345093073035156
case_051,5,212109,1705216,211201,1705220,0.7740129452067601
case_052,1,180301,0,180301,0,0.0
case_052,2,84881,419380,84645,419380,0.11894093536752877
case_052,3,58693,687906,58693,687906,0.1728729510078516
case_052,4,46434,198144,44422,1391546,0.17216977469529932
case_052,5,38023,353800,37989,378392,0.2768858542986611
case_053,1,1472686,5405536,1428109,5405536,0.6248708378144704
case_053,2,764147,6691798,732130,6110320,0.5136571884065839
case_053,3,517826,6261728,495053,6261728,0.5001404930793218
case_053,4,494335,6764378,494180,6764378,0.4797327967588735
case_053,5,495071,7321740,493441,7218412,0.49284897787974286
case_054,1,815051,0,815051,0,0.0
case_054,2,510272,49152,510272,49152,0.0
case_054,3,455974,3647684,455814,3647684,0.09066643291984652
case_054,4,449274,5452072,448797,5452072,0.1319516845994102
case_054,5,429642,6280522,428791,6280522,0.19679465749233616
case_055,1,118835,69632,118835,69632,0.10014324257468461
case_055,2,57154,61980,57154,61980,0.08438616706290748
case_055,3,34331,90624,34331,90624,0.11573951868804583
case_055,4,32026,109080,34150,115216,0.12368365023993187
case_055,5,21522,152604,21522,234548,0.23047774652449465
case_056,1,277285,0,277285,0,0.0
case_056,2,190015,679994,190009,679994,0.16257366583443225
case_056,3,181961,1352776,181905,1352776,0.11033937126271987
case_056,4,196471,1836178,196172,1836178,0.1716249628775269
case_056,5,154422,1788802,154348,1788802,0.3668666436396927
case_057,1,59726,94216,59726,94216,0.21868152274837513
case_057,2,28834,329606,28698,280446,0.2623573317085378
case_057,3,20132,24064,20132,24064,0.04451474663166515
case_057,4,16447,50706,16447,50706,0.0853228238156955
case_057,5,14978,484042,13967,495844,0.4357472227203023
case_058,1,4539717,28696576,4539717,28696576,0.0
case_058,2,2257752,28512256,2266013,30064640,0.35429018905917886
case_058,3,1500577,31592448,1495353,31690752,0.2727175539875989
case_058,4,1130511,42266624,1123930,41975808,0.5785378366823429
case_058,5,940996,34263040,920331,33681408,0.30802845528455286
case_059,1,829473,1691648,815938,1691648,0.6100443131462334
case_059,2,369318,360448,369318,360448,0.0
case_059,3,252305,1822720,251809,1822720,0.5926449787835927
case_059,4,185216,1081344,185216,1081344,0.0
case_059,5,150598,2007040,150667,1968128,0.6180228648285138
case_060,1,888789,2068520,887801,2068520,0.4231432279268349
case_060,2,443206,2108456,450476,2687184,0.3644200835484128
case_060,3,291567,3728456,290977,3728456,0.3343050530656416
case_060,4,227462,2288656,227398,2242576,0.40546786028872484
case_060,5,181958,5732726,175251,5714294,0.33691257411691183
case_061,1,77191,0,77191,0,0.0
case_061,2,41593,34560,41593,34560,0.026547020719120077
case_061,3,28490,29456,28490,29456,0.04435142343149539
case_061,4,22219,156688,22219,156688,0.12301842749625494
case_061,5,18275,80140,18176,80140,0.08154575320749032
case_062,1,2854809,0,2854809,0,0.0
case_062,2,1517850,6377472,1517850,6377472,0.0
case_062,3,1064140,10361856,1064140,10361856,0.0
case_062,4,811802,6377472,811802,6377472,0.0
case_062,5,656678,6420480,656678,6420480,0.0
case_063,1,1070397,0,1070397,0,0.0
case_063,2,565481,2856960,565481,2856960,0.0
case_063,3,388538,2792448,388538,2792448,0.0
case_063,4,296780,2664960,296780,2664960,0.0
case_063,5,238249,3081216,238249,3081216,0.0
case_064,1,19116,0,19116,0,0.0
case_064,2,15256,39174,15256,39174,0.1301564722617354
case_064,3,12434,73612,12434,73612,0.2518027185246602
case_064,4,13860,53672,13976,53672,0.2240483173146723
case_064,5,12698,64110,12674,64110,0.2892296145392162
case_065,1,53068,0,53068,0,0.0
case_065,2,21893,101008,21893,101008,0.039103267563996326
case_065,3,16407,292020,15450,214200,0.1472305464217075
case_065,4,12794,50688,12794,50688,0.11993059572006941
case_065,5,10864,168112,10835,282314,0.15975368210375082
case_066,1,359070,0,359070,0,0.0
case_066,2,215568,350420,215515,297044,0.08622766578111163
case_066,3,195074,1684424,194694,1684424,0.3242034016030798
case_066,4,177712,1520402,181136,1443856,0.2675981958471607
case_066,5,187245,2279686,186295,2267142,0.3607527785151433
case_067,1,63834834,264449408,63834834,264449408,0.0
case_067,2,33768704,264024576,33768704,264024576,0.0
case_067,3,21315128,244452096,21544287,251315968,0.3776827020070263
case_067,4,16369483,272247424,16168869,269660800,0.47665778840821377
case_067,5,13310646,263329280,12955293,263230976,0.5922328407474209
case_068,1,362095,0,362095,0,0.0
case_068,2,283789,1435230,283703,1435230,0.1663287020576453
case_068,3,230707,1903456,229577,1903456,0.24169304515570553
case_068,4,227697,2346948,227423,2346948,0.22886870404971305
case_068,5,220688,2596672,215999,2584192,0.24637095734156259
case_069,1,25144,0,25144,0,0.0
case_069,2,14263,124804,14263,124804,0.16041351224351277
case_069,3,13549,195784,13549,195784,0.3374641733803083
case_069,4,13975,133254,14075,147270,0.23638331480723104
case_069,5,16374,284364,16229,316526,0.314853947351467
case_070,1,117300,0,117300,0,0.0
